Author,Title,Category,Topic,Publisher,Year
"А. Стругацкий; Б. Стругацкий",Жук в муравейнике,"Отечественная_литература
Современная_проза",Фантастика,АСТ,2009
"А. Стругацкий; Б. Стругацкий",Волны гасят ветер,"Отечественная_литература
Современная_проза",Фантастика,Эксмо-Пресс,1997
"А. Стругацкий; Б. Стругацкий",Понедельник начинается в субботу,"Отечественная_литература
Современная_проза",Фантастика,Детская литература,1965
Н. Носов,Незнайка в Солнечном городе,"Отечественная_литература
Современная_проза",Детская_литература,Советская Россия,1978
Н. Носов,Незнайка на Луне,"Отечественная_литература
Современная_проза",Детская_литература,Оникс,2000
А. А. Милн,Винни-Пух и все-все-все,"Иностранная_литература
Современная_проза",Детская_литература,Адабият,1989
С. Моэм,Луна и грош,"Иностранная_литература
Современная_проза","Биография
Приключения",АСТ,2010
С. Моэм,Тогда и теперь,"Иностранная_литература
Современная_проза","Биография
Исторические_приключения",Бук Чэмбер Интернэшнл,1995
Дж. Даррелл,Моя семья и другие звери,"Иностранная_литература
Современная_проза","Детская_литература
Биография",Мир,1986
В. Звягинцев ,Бульдоги под ковром,"Отечественная_литература
Современная_проза","Фантастика
Приключения ",Эксмо,2014
Джонатан Свифт,Путешествие Гулливера,"Классическая_проза
Иностранная_литература","Детская_литература
Приключения",НИГМА,2018
Люис Кэрролл,Алиса в зазеркалье,"Классическая_проза
Иностранная_литература",Детская_литература,Эксмо,2016
И.А. Покровский,Лекции по истории Римского права,Отечественная_литература Научная_литература,Право,Едиториал УРСС,2018
Дэниел Киз,Цветы для Элджернона,"Современная_проза
Иностранная_литература",Фантастика,Домино,2017
Э. Хемингуэй,"Праздник, который всегда с тобой","Современная_проза
Иностранная_литература",Биография,АСТ,2017
А. Конан-Дойл,Приключения Шерлока Холмса,"Классическая_проза
Иностранная_литература","Детектив
Приключения",Эксмо,2017
А. Конан-Дойл,Возвращение Шерлока Холмса,Иностранная_литература,"Детектив
Приключения",Эксмо,2015
Роберт Бернс,Стихотворения и песни,Иностранная_литература,Поэзия,Детская литература,1987
Роберт Бернс,Любовь и свобода,Иностранная_литература,Поэзия,Престиж Бук,2017
П.В. Вудхаус,Посоветуйтесь с Дживсом!,Современная_проза Иностранная_литература,Юмор,АСТ,2016
П.В. Вудхаус,"На помощь, Дживс!",Современная_проза Иностранная_литература,Юмор,АСТ,2018
Лев Квин,Ржавый капкан на зеленом поле,"Современная_проза
Отечественная_литература",Военные_приключения,Вече,2018
М. Булгаков,Собачье сердце,Отечественная_литература Современная_проза,"Юмор
Приключения",АСТ,2014
М. Булгаков,Мастер и Маргарита,Отечественная_литература Современная_проза,"Фэнтези
Приключения",Мартин,2017
Жюль Верн,Дети капитана Гранта,Иностранная_литература Классическая_проза,"Детская_литература
Приключения",Азбука,2013
Жюль Верн,Архипелаг в огне,Иностранная_литература Классическая_проза,Исторические_приключения,Logos,2000
Жюль Верн,Таинственный остров,Иностранная_литература Классическая_проза,"Фантастика
Приключения",Беларусь,1984
Жюль Верн,Зимовка во льдах ,Иностранная_литература Классическая_проза,Приключения,ФТМ,2017
Уильям Шекспир,Сонеты,Иностранная_литература Классическая_проза,Поэзия,Полиграфия,1988
Уильям Шекспир,Сон в летнюю ночь,Иностранная_литература Классическая_проза,Поэзия,Азбука-классика,2009
А. Белянин,Ааргх,Отечественная_литература Современная_проза,Фэнтези,Армада,2007
Р.Р. Толкин,Хоббит,Иностранная_литература,Фэнтези,АСТ,2018
Р.Р. Толкин,Властелин колец,Иностранная_литература,Фэнтези,АСТ,2015
О. Генри,Короли и капуста,Иностранная_литература,Юмор,Фолио,2012
О. Генри,Дары волхвов,Иностранная_литература,Юмор,Эксмо,2015
О. Генри,Фараон и хорал,Иностранная_литература,Юмор,СЗКЭО,2019
Кир Булычев,Жизнь за трицератопса,Отечественная_литература Современная_проза,"Фантастика
Приключения",WebKniga,2012
Кир Булычев,Гостья из будущего,Отечественная_литература Современная_проза,"Детская_литература
Приключения",Эксмо,2009
Кир Булычев,Алиса и дракон,Отечественная_литература Современная_проза,"Детская_литература
Приключения",Искательпресс,2017
Саша Черный,Кавказский пленник ,Отечественная_литература Современная_проза ,Детская_литература,Лениздат,2014
Лев Толстой,Кавказский пленник,Отечественная_литература Классическая_проза,Приключения,Лениздат,2013
М.Ю. Лермонтов,Кавказский пленник,Отечественная_литература Классическая_проза,Поэзия,T8RUGRAM,2018
